fullName,userName,serverIP,role,status
PAM Account,pam360id,192.168.167.101,0,No relevant ports are open
PAM Account,pam360id,192.168.167.102,0,No relevant ports are open
PAM Account,pam360id,192.168.67.101,0,No relevant ports are open
PAM Account,pam360id,172.16.98.13,0,Account created
PAM Account,pam360id,172.16.106.10,0,User already exist
PAM Account,pam360id,172.16.96.2,0,User already exist
PAM Account,pam360id,172.16.97.2,0,Account created
PAM Account,pam360id,172.16.9.165,0,User already exist
PAM Account,pam360id,172.16.110.4,0,User already exist
PAM Account,pam360id,172.16.106.7,0,User already exist
PAM Account,pam360id,172.30.1.19,0,User already exist
PAM Account,pam360id,172.16.9.167,0,User already exist
PAM Account,pam360id,172.16.132.15,0,User already exist
PAM Account,pam360id,192.168.168.4,0,Account created
PAM Account,pam360id,192.168.168.3,0,Account created
PAM Account,pam360id,192.168.168.2,0,Account created
PAM Account,pam360id,172.16.12.51,0,User admin unavailable
PAM Account,pam360id,172.16.185.13,0,No relevant ports are open
PAM Account,pam360id,192.168.168.6,0,Account created
PAM Account,pam360id,192.168.167.31,0,No relevant ports are open
PAM Account,pam360id,192.168.167.32,0,No relevant ports are open
